,nom_commune_postal,code_postal,latitude,longitude,code_departement,score
31569,VILLIERS ST GEORGES,77560,48.6516910276,3.40775745476,77,0
31570,VILLIERS SOUS GREZ,77760,48.3144333448,2.6391835166,77,1
31571,VILLIERS SUR MORIN,77580,48.8490884714,2.86879135984,77,0
31572,VILLIERS SUR SEINE,77114,48.4563743528,3.38301719826,77,0
31573,VILLUIS,77480,48.4053424747,3.35903644752,77,0
31574,VIMPELLES,77520,48.4430647512,3.16654310181,77,0
31575,VINANTES,77230,49.0033668902,2.73993236891,77,0
31576,VINCY MANOEUVRE,77139,49.0760096587,2.95813750524,77,0
31577,VOINSLES,77540,48.6812171201,3.01742252986,77,0
31578,VOISENON,77950,48.5701795365,2.66375881473,77,0
31579,VOULANGIS,77580,48.8403121801,2.88971628574,77,0
31580,VOULTON,77560,48.6116398027,3.3397616891,77,0
31581,VOULX,77940,48.2852061062,2.96998252338,77,0
31582,VULAINES LES PROVINS,77160,48.5636143707,3.21951808619,77,0
31583,VULAINES SUR SEINE,77870,48.4316360223,2.7693476397,77,0
31584,YEBLES,77390,48.6376060545,2.7689913079,77,0
31585,ABLIS,78660,48.5283257707,1.85096499421,78,0
31586,ACHERES,78260,48.9717990892,2.09003871824,78,0
31587,ADAINVILLE,78113,48.7201535833,1.66232511762,78,1
31588,AIGREMONT,78240,48.9008380509,2.0153630611,78,1
31589,ALLAINVILLE,78660,48.4678049422,1.90248656235,78,1
31590,LES ALLUETS LE ROI,78580,48.9143168349,1.91476236453,78,0
31591,ANDELU,78770,48.8882282833,1.81107773324,78,0
31592,ANDRESY,78570,48.9815454378,2.05025746939,78,1
31593,ARNOUVILLE LES MANTES,78790,48.911006894,1.72043999321,78,0
31594,AUBERGENVILLE,78410,48.9626916321,1.84870251915,78,1
31595,AUFFARGIS,78610,48.6842952632,1.90243823035,78,0
31596,AUFFREVILLE BRASSEUIL,78930,48.954418567,1.70514751215,78,1
31597,AULNAY SUR MAULDRE,78126,48.9291229778,1.84081525646,78,0
31598,AUTEUIL,78770,48.8394911873,1.81898836973,78,1
31599,AUTOUILLET,78770,48.8439307646,1.79700207496,78,0
31600,BAILLY,78870,48.8366896896,2.08067809572,78,1
31601,BAZAINVILLE,78550,48.8073241204,1.66749054563,78,1
31602,BAZEMONT,78580,48.9318976597,1.87410045764,78,1
31603,BAZOCHES SUR GUYONNE,78490,48.7738475764,1.85242453244,78,0
31604,BEHOUST,78910,48.8324001775,1.72423748749,78,0
31605,BENNECOURT,78270,49.0479974948,1.57232432462,78,1
31606,BEYNES,78650,48.854444414,1.86989017513,78,0
31607,BLARU,78270,49.0407915695,1.48063662849,78,0
31608,BOINVILLE EN MANTOIS,78930,48.9284835934,1.74928034755,78,0
31609,BOINVILLE LE GAILLARD,78660,48.4958030642,1.87115102424,78,0
31610,BOINVILLIERS,78200,48.9204900199,1.66289347528,78,1
31611,BOIS D ARCY,78390,48.8044185716,2.01911294303,78,1
31612,BOISSETS,78910,48.8587317942,1.58768309542,78,0
31613,LA BOISSIERE ECOLE,78125,48.6898883767,1.66775518226,78,0
31614,BOISSY MAUVOISIN,78200,48.9658595506,1.58159815753,78,0
31615,BOISSY SANS AVOIR,78490,48.8210401327,1.79753784845,78,0
31616,BONNELLES,78830,48.6181895067,2.0296290825,78,0
31617,BONNIERES SUR SEINE,78270,49.0200145553,1.57058771832,78,0
31618,BOUAFLE,78410,48.9605828143,1.8971510926,78,0
31619,BOUGIVAL,78380,48.8635986439,2.13760707765,78,0
31620,BOURDONNE,78113,48.7543239729,1.65394025504,78,0
31621,BREUIL BOIS ROBERT,78930,48.9436009662,1.71471708447,78,0
31622,BREVAL,78980,48.9549709174,1.54155385963,78,0
31623,LES BREVIAIRES,78610,48.7212410686,1.81639481084,78,0
31624,BRUEIL EN VEXIN,78440,49.0264206637,1.81316986042,78,0
31625,BUC,78530,48.7718338876,2.12394286717,78,0
31626,BUCHELAY,78200,48.9837019552,1.67436909003,78,1
31627,BULLION,78830,48.6245810321,1.98307952001,78,0
31628,CARRIERES SOUS POISSY,78955,48.9455638989,2.02913706544,78,1
31629,CARRIERES SUR SEINE,78420,48.9119335064,2.17838235323,78,0
31630,LA CELLE LES BORDES,78720,48.6416446846,1.94488436228,78,0
31631,LA CELLE ST CLOUD,78170,48.8469487124,2.13519126228,78,0
31632,CERNAY LA VILLE,78720,48.6696344922,1.95970981041,78,1
31633,CHAMBOURCY,78240,48.8960592796,2.03321565205,78,1
31634,CHANTELOUP LES VIGNES,78570,48.9759961298,2.03199829577,78,0
31635,CHAPET,78130,48.9681465305,1.9401229913,78,0
31636,CHATEAUFORT,78117,48.7390044414,2.09509831044,78,0
31637,CHATOU,78400,48.8965574645,2.15393458329,78,0
31638,CHAUFOUR LES BONNIERES,78270,49.0158393703,1.48536401441,78,0
31639,CHAVENAY,78450,48.8483573502,1.98288004519,78,1
