nom_commune_postal;code_postal;latitude;longitude;code_departement
VILLIEU LOYES MOLLON;1800;45.932014998;5.22953071636;1
VIRIAT;1440;46.2508985632;5.22302249216;1
VIRIEU LE GRAND;1510;45.8464417872;5.63971940347;1
VIRIEU LE PETIT;1260;45.9063608209;5.73707051523;1
VIRIGNIN;1300;45.7267387762;5.71282330936;1
VONGNES;1350;45.8129059524;5.72536666767;1
VONNAS;1540;46.2168871367;4.99744373712;1
ABBECOURT;2300;49.5991518653;3.17708232927;2
ACHERY;2800;49.6936187791;3.39735632148;2
ACY;2200;49.3471963534;3.41817609834;2
AGNICOURT ET SECHELLES;2340;49.7166573626;3.96043211816;2
AGUILCOURT;2190;49.393650796;3.96803679426;2
AISONVILLE ET BERNOVILLE;2110;49.930148162;3.51120205593;2
AIZELLES;2820;49.4848002918;3.81870255331;2
AIZY JOUY;2370;49.4384256824;3.51149185429;2
ALAINCOURT;2240;49.7667120841;3.36639043616;2
ALLEMANT;2320;49.4624440593;3.45394275872;2
AMBLENY;2290;49.3762672939;3.18334679178;2
AMBRIEF;2200;49.3215250088;3.40362196255;2
AMIFONTAINE;2190;49.498787026;3.92278993322;2
AMIGNY ROUY;2700;49.6108275885;3.30289341579;2
ANCIENVILLE;2600;49.2186389559;3.20808809779;2
ANDELAIN;2800;49.6411808161;3.3695440898;2
ANGUILCOURT LE SART;2800;49.6940879195;3.42823182437;2
ANIZY LE CHATEAU;2320;49.5045058305;3.43129584952;2
ANNOIS;2480;49.7210674108;3.17611501401;2
ANY MARTIN RIEUX;2500;49.8823706752;4.22351346907;2
ARCHON;2360;49.744126618;4.11908765808;2
ARCY STE RESTITUE;2130;49.2548799371;3.47829076337;2
ARMENTIERES SUR OURCQ;2210;49.1734232511;3.38789647903;2
ARRANCY;2860;49.4989016398;3.7647230005;2
ARTEMPS;2480;49.7617999337;3.19725095546;2
ASSIS SUR SERRE;2270;49.6803739117;3.55491692691;2
ATHIES SOUS LAON;2840;49.5757750686;3.69006632109;2
ATTILLY;2490;49.8554489068;3.15363305662;2
AUBENCHEUL AUX BOIS;2420;50.0239903854;3.26103215604;2
AUBENTON;2500;49.8252306759;4.19066939985;2
AUBIGNY AUX KAISNES;2590;49.7721524634;3.1192565988;2
AUBIGNY EN LAONNOIS;2820;49.4968821185;3.79282850765;2
AUDIGNICOURT;2300;49.4777157214;3.12718502825;2
AUDIGNY;2120;49.8660645425;3.6312599901;2
AUGY;2220;49.340063724;3.5110198819;2
AULNOIS SOUS LAON;2000;49.6198117499;3.60981962105;2
LES AUTELS;2360;49.7608855336;4.22422505762;2
AUTREMENCOURT;2250;49.7051244442;3.79419867292;2
AUTREPPES;2580;49.8969849321;3.85601033505;2
AUTREVILLE;2300;49.5860875305;3.23602708427;2
AZY SUR MARNE;2400;49.0039701095;3.35913214045;2
BAGNEUX;2290;49.4601139731;3.27945330014;2
BANCIGNY;2140;49.7978711595;4.03669866073;2
BARENTON BUGNY;2000;49.6218589779;3.66103056579;2
BARENTON CEL;2000;49.6477517259;3.64469997459;2
BARENTON SUR SERRE;2270;49.66833977;3.68940610952;2
BARISIS AUX BOIS;2700;49.577979369;3.32804487461;2
BARZY EN THIERACHE;2170;50.0395375873;3.74901595409;2
BARZY SUR MARNE;2850;49.0906196202;3.56214117254;2
BASSOLES AULERS;2380;49.5332813699;3.38492604839;2
VALLEES EN CHAMPAGNE;2330;48.9896915811;3.60486686026;2
BAZOCHES SUR VESLES;2220;49.3070586788;3.61583126589;2
BEAUME;2500;49.8211281836;4.15200066545;2
BEAUMONT EN BEINE;2300;49.6874633882;3.13133369335;2
BEAUREVOIR;2110;49.9965608612;3.32970842537;2
BEAURIEUX;2160;49.402806797;3.75287161991;2
BEAUTOR;2800;49.648319958;3.33811188104;2
BEAUVOIS EN VERMANDOIS;2590;49.8339921767;3.10282045546;2
BECQUIGNY;2110;50.0158703814;3.45898644538;2
BELLEAU;2400;49.0829128265;3.30049173293;2
BELLENGLISE;2420;49.9261057081;3.2441994692;2
BELLEU;2200;49.3567574344;3.34051688283;2
BELLICOURT;2420;49.9592991729;3.23020850852;2
BENAY;2440;49.755094123;3.30909898139;2
BERGUES SUR SAMBRE;2450;50.0294686238;3.711371001;2
BERLANCOURT;2250;49.7808533631;3.75710714699;2
BERLISE;2340;49.6622290606;4.11314086897;2
BERNOT;2120;49.8793651304;3.48665456392;2
BERNY RIVIERE;2290;49.4113288887;3.14975272702;2
BERRIEUX;2820;49.4823563962;3.8521031839;2
